,Feature_Names,Importances
137,mean_speed_on_paper1,0.016506416471892105
138,gmrt_in_air7,0.016491717447114862
139,pressure_var21,0.016379115871280547
140,mean_acc_on_paper11,0.016166328806313635
141,total_time24,0.015976781628720294
142,max_y_extension11,0.015949128842685886
143,total_time3,0.015689206179532622
144,gmrt_in_air20,0.015647109741539933
145,total_time7,0.015459556618974968
146,mean_acc_on_paper22,0.015308615842965556
147,pressure_mean3,0.01527651255798157
148,mean_acc_on_paper3,0.015161190011894199
149,mean_speed_in_air2,0.015135697329304781
150,pressure_var19,0.015096472681422113
151,pressure_mean7,0.015051182387996187
152,num_of_pendown1,0.014949719637303183
153,disp_index25,0.014904315529841616
154,pressure_var17,0.0147987905333693
155,mean_gmrt19,0.014737501315386647
156,mean_acc_in_air3,0.01470932197809599
157,pressure_mean9,0.014645982608355035
